folder_path,meeting_id,person_id,file_name,start_time,end_time,full_file_path,reference_persons
/content/drive/MyDrive/filtered_clips/20210323-SP07F,20210323,SP07F,clip_378_383.mp4,378,383,/content/drive/MyDrive/filtered_clips/20210323-SP07F/clip_378_383.mp4,"['SP01F', 'SP06M', 'SP03M']"
/content/drive/MyDrive/filtered_clips/20210323-SP07F,20210323,SP07F,clip_1113_1118.mp4,1113,1118,/content/drive/MyDrive/filtered_clips/20210323-SP07F/clip_1113_1118.mp4,"['SP01F', 'SP03M', 'SP06M']"
/content/drive/MyDrive/filtered_clips/20210323-SP07F,20210323,SP07F,clip_1074_1079.mp4,1074,1079,/content/drive/MyDrive/filtered_clips/20210323-SP07F/clip_1074_1079.mp4,"['SP06M', 'SP03M', 'SP01F']"
/content/drive/MyDrive/filtered_clips/20210323-SP07F,20210323,SP07F,clip_1182_1187.mp4,1182,1187,/content/drive/MyDrive/filtered_clips/20210323-SP07F/clip_1182_1187.mp4,"['SP06M', 'SP01F', 'SP03M']"
/content/drive/MyDrive/filtered_clips/20210323-SP07F,20210323,SP07F,clip_255_260.mp4,255,260,/content/drive/MyDrive/filtered_clips/20210323-SP07F/clip_255_260.mp4,"['SP03M', 'SP01F', 'SP06M']"
/content/drive/MyDrive/filtered_clips/20210323-SP07F,20210323,SP07F,clip_273_278.mp4,273,278,/content/drive/MyDrive/filtered_clips/20210323-SP07F/clip_273_278.mp4,"['SP06M', 'SP03M', 'SP01F']"
/content/drive/MyDrive/filtered_clips/20210323-SP07F,20210323,SP07F,clip_3_8.mp4,3,8,/content/drive/MyDrive/filtered_clips/20210323-SP07F/clip_3_8.mp4,"['SP01F', 'SP03M', 'SP06M']"
/content/drive/MyDrive/filtered_clips/20210323-SP07F,20210323,SP07F,clip_249_254.mp4,249,254,/content/drive/MyDrive/filtered_clips/20210323-SP07F/clip_249_254.mp4,"['SP06M', 'SP03M', 'SP01F']"
/content/drive/MyDrive/filtered_clips/20210323-SP07F,20210323,SP07F,clip_1107_1112.mp4,1107,1112,/content/drive/MyDrive/filtered_clips/20210323-SP07F/clip_1107_1112.mp4,"['SP03M', 'SP01F', 'SP06M']"
/content/drive/MyDrive/filtered_clips/20210323-SP07F,20210323,SP07F,clip_1116_1121.mp4,1116,1121,/content/drive/MyDrive/filtered_clips/20210323-SP07F/clip_1116_1121.mp4,"['SP03M', 'SP06M', 'SP01F']"
/content/drive/MyDrive/filtered_clips/20210323-SP07F,20210323,SP07F,clip_210_215.mp4,210,215,/content/drive/MyDrive/filtered_clips/20210323-SP07F/clip_210_215.mp4,"['SP06M', 'SP01F', 'SP03M']"
/content/drive/MyDrive/filtered_clips/20210323-SP01F,20210323,SP01F,clip_966_971.mp4,966,971,/content/drive/MyDrive/filtered_clips/20210323-SP01F/clip_966_971.mp4,"['SP07F', 'SP03M', 'SP06M']"
/content/drive/MyDrive/filtered_clips/20210323-SP01F,20210323,SP01F,clip_957_962.mp4,957,962,/content/drive/MyDrive/filtered_clips/20210323-SP01F/clip_957_962.mp4,"['SP06M', 'SP07F', 'SP03M']"
